Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/mustard-yellow-02-8-c644d9.jpg,6,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/peacock-blue-01-4-98e0ed.jpg,7,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/peacock-blue-02-5-82f022.jpg,8,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/red-01-3-f9d960.jpg,9,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/red-02-2-ab7a59.jpg,10,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/teal-green-01-12-8c2aac.jpg,11,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/teal-green-02-11-6ded87.jpg,12,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-floral-printed-organza-saree-scalloped-border,Women Floral Printed Organza Saree with Scalloped Embroidered Border,"<p>Lightweight organza saree in a soft tissue finish, digitally printed with a painterly floral garden that gathers into a bold bouquet pallu over a zig-zag band. The border is finished with fine scalloped cutwork embroidery and sequin detailing on all four sides. Comes with a matching unstitched blouse piece. Airy, easy to carry all evening and beautifully sheer in the light. Made for day functions, mehendi, receptions and festive get-togethers.</p>",HyraLuxe,Sarees,"Sarees, Organza (tissue finish), Festive, Party, Migrated",TRUE,Colour,Ivory,HF-ORG-01-IVORY,shopify,2,deny,manual,1999.00,,TRUE,TRUE,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/ivory-01-13-46597f.jpg,1,Women Floral Printed Organza Saree with Scalloped Embroidered Border,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/ivory-01-13-46597f.jpg,active
women-floral-printed-organza-saree-scalloped-border,,,,,,,,Lilac,HF-ORG-01-LILAC,shopify,2,deny,manual,1999.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/lilac-01-1-06c065.jpg,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,Mint Green,HF-ORG-01-MINTGREEN,shopify,2,deny,manual,1999.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/mint-green-01-7-b6131a.jpg,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,Peach,HF-ORG-01-PEACH,shopify,2,deny,manual,1999.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/peach-01-10-dd58d9.jpg,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,Pista Green,HF-ORG-01-PISTAGREEN,shopify,2,deny,manual,1999.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/pista-green-01-4-d10ace.jpg,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/ivory-02-14-5db097.jpg,2,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/ivory-03-15-f848a1.jpg,3,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/lilac-01-1-06c065.jpg,4,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/lilac-02-2-bc1259.jpg,5,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/lilac-03-3-8690a5.jpg,6,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/mint-green-01-7-b6131a.jpg,7,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/mint-green-02-8-a5c887.jpg,8,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/mint-green-03-9-1a638f.jpg,9,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/peach-01-10-dd58d9.jpg,10,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/peach-02-12-43e8f3.jpg,11,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/pista-green-01-4-d10ace.jpg,12,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/pista-green-02-5-708e8f.jpg,13,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-floral-printed-organza-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-floral-printed-organza-saree-scalloped-border/pista-green-03-6-ec6743.jpg,14,Women Floral Printed Organza Saree with Scalloped Embroidered Border,,
women-sequin-floral-shimmer-saree-gold-piping,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,"<p>Plain fancy satin saree with a soft liquid shimmer, scattered with hand-finished sequin and thread floral sprays across the body and pallu, and outlined with a fine gold zari piping on all sides. Comes with a matching blouse piece. Light on the shoulder and easy to drape — an understated pick for festive evenings, receptions and family functions.</p>",HyraLuxe,Sarees,"Sarees, Fancy Satin, Festive, Party, Migrated",TRUE,Colour,Mustard Gold,HF-SEQ-01-MUSTARDGOLD,shopify,1,deny,manual,1299.00,2599.00,TRUE,TRUE,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/mustard-gold-01-main-35ca62.jpg,1,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/mustard-gold-01-main-35ca62.jpg,active
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,Orchid Mauve,HF-SEQ-01-ORCHIDMAUVE,shopify,1,deny,manual,1299.00,2599.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/orchid-mauve-01-main-0c99ec.jpg,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,Purple,HF-SEQ-01-PURPLE,shopify,1,deny,manual,1299.00,2599.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/purple-01-main-b62539.jpg,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,Sage Green,HF-SEQ-01-SAGEGREEN,shopify,1,deny,manual,1299.00,2599.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/sage-green-01-main-138d55.jpg,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,Teal Blue,HF-SEQ-01-TEALBLUE,shopify,1,deny,manual,1299.00,2599.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/teal-blue-01-main-4f0e33.jpg,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/mustard-gold-02-back-f02985.jpg,2,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/mustard-gold-x-collage-1-761e03.jpg,3,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/orchid-mauve-01-main-0c99ec.jpg,4,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/orchid-mauve-02-back-179e46.jpg,5,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/orchid-mauve-03-front-68dbc2.jpg,6,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/orchid-mauve-x-collage-1-f1d3d8.jpg,7,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/orchid-mauve-x-collage-2-5efca1.jpg,8,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/purple-01-main-b62539.jpg,9,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/purple-x-collage-1-c36fb4.jpg,10,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/purple-x-collage-2-a5596d.jpg,11,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/sage-green-01-main-138d55.jpg,12,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/sage-green-02-back-b7d3fb.jpg,13,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/sage-green-x-collage-1-0e7b2e.jpg,14,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/teal-blue-01-main-4f0e33.jpg,15,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/teal-blue-02-back-5d373f.jpg,16,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-sequin-floral-shimmer-saree-gold-piping,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-sequin-floral-shimmer-saree-gold-piping/teal-blue-x-collage-1-1d941a.jpg,17,Women Shimmer Saree with Sequin Floral Motifs & Gold Piping Border,,
women-peacock-embroidered-shimmer-saree,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,"<p>Fancy satin saree with a soft crushed shimmer, dressed with large peacock and floral motifs embroidered in contrast thread and stone work, and edged with a scalloped border on all sides. Comes with a matching blouse piece. Falls smoothly and holds its drape — made for weddings, receptions, sangeet and festive evenings.</p>",HyraLuxe,Sarees,"Sarees, Fancy Satin, Festive, Party, Migrated",TRUE,Colour,Dusty Pink,HF-PEA-01-DUSTYPINK,shopify,3,deny,manual,1699.00,2999.00,TRUE,TRUE,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/dusty-pink-01-main-80fe62.jpg,1,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/dusty-pink-01-main-80fe62.jpg,active
women-peacock-embroidered-shimmer-saree,,,,,,,,Gold,HF-PEA-01-GOLD,shopify,3,deny,manual,1699.00,2999.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/gold-01-main-517eb4.jpg,
women-peacock-embroidered-shimmer-saree,,,,,,,,Lilac,HF-PEA-01-LILAC,shopify,3,deny,manual,1699.00,2999.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/lilac-01-main-e27ce0.jpg,
women-peacock-embroidered-shimmer-saree,,,,,,,,Powder Blue,HF-PEA-01-POWDERBLUE,shopify,3,deny,manual,1699.00,2999.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/powder-blue-01-main-82e19d.jpg,
women-peacock-embroidered-shimmer-saree,,,,,,,,Sage Green,HF-PEA-01-SAGE,shopify,3,deny,manual,1699.00,2999.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/sage-01-main-1ea484.jpg,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/dusty-pink-02-back-c14cb6.jpg,2,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/dusty-pink-x-collage-1-ee18e2.jpg,3,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/gold-01-main-517eb4.jpg,4,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/gold-02-front-bc4fd5.jpg,5,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/gold-x-collage-1-0438aa.jpg,6,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/gold-x-collage-2-a9788c.jpg,7,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/lilac-01-main-e27ce0.jpg,8,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/lilac-02-side-e74306.jpg,9,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/powder-blue-01-main-82e19d.jpg,10,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/powder-blue-02-side-08d578.jpg,11,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/powder-blue-03-back-53a73d.jpg,12,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/sage-01-main-1ea484.jpg,13,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/sage-02-side-e95266.jpg,14,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-peacock-embroidered-shimmer-saree,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-peacock-embroidered-saree-stitched-blouse/sage-03-back-98f1f0.jpg,15,Women Shimmer Saree with Peacock Embroidered Motifs & Scalloped Border,,
women-velvet-patch-stone-work-saree,Women Shimmer Saree with Velvet Patch & Stone Work,"<p>Fancy satin saree scattered with velvet medallion patches, each outlined in fine stone work, and finished with a contrast velvet border on all sides. Comes with a matching velvet blouse piece. Falls softly and catches the light as it drapes — made for weddings, receptions, sangeet and festive evenings.</p>",HyraLuxe,Sarees,"Sarees, Fancy Satin, Festive, Party, Migrated",TRUE,Colour,Coral Red,HF-VLV-01-CORAL,shopify,2,deny,manual,1699.00,2999.00,TRUE,TRUE,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-velvet-patch-saree-stitched-blouse/coral-01-main-1da857.jpg,1,Women Shimmer Saree with Velvet Patch & Stone Work,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-velvet-patch-saree-stitched-blouse/coral-01-main-1da857.jpg,active
women-velvet-patch-stone-work-saree,,,,,,,,Dusty Rose,HF-VLV-01-DUSTYROSE,shopify,2,deny,manual,1699.00,2999.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-velvet-patch-saree-stitched-blouse/dusty-rose-01-main-7c6bb3.jpg,
women-velvet-patch-stone-work-saree,,,,,,,,Lilac,HF-VLV-01-LILAC,shopify,2,deny,manual,1699.00,2999.00,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-velvet-patch-saree-stitched-blouse/lilac-01-main-b92365.jpg,
